"Filing Date","Document Type","Filed By","Description"
"November 29, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=243617674""><span style=""color:blue""><u>RULING</u></span></a>","ALJ/FITCH/CPUC","EMAIL RULING GRANTING MOTION FOR PARTY STATUS OF CHARLES GOLDMAN"
"November 20, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=243557299""><span style=""color:blue""><u>MOTION</u></span></a>","Charles Goldman","Motion for party status."
"November 01, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=262406000""><span style=""color:blue""><u>EXPARTE</u></span></a>","CPUC/Sandy Goldberg/Advisor","[By Decisionmaker] SUMMARY:  On October 9, 2018, Sandy Goldberg, advisor to Cmmr. Rechtschaffen, met in San Francisco with representatives of the City and County of San Francisco."
"October 15, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=233749610""><span style=""color:blue""><u>RULING</u></span></a>","ALJ/FITCH/CPUC","E-Mail Ruling Suspending Due Date For Reply Comments On Market Transformation Staff Proposal."
"October 12, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=249587813""><span style=""color:blue""><u>EXPARTE</u></span></a>","City and County of San Francisco","Notice of oral ex parte communications that took place on the following dates and times:  October 9, 2018 at 1:00 p.m. with Sandy Goldberg, Advisor to Commissioner Clifford Rechtschaffen;  October 9, 2018 at 2:30 p.m. with David Gamson, Advisor to Commissioner Martha Guzman-Aceves, and; October 10, 2018 at 3:00 p.m. with Jennifer Kalafut, Advisor to Commissioner Carla Peterman."
"October 08, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=247368065""><span style=""color:blue""><u>COMMENTS</u></span></a>","CLEAResult","Comments Of CLEAResult On Ruling Of Administrative Law Judge’s Ruling Seeking Comment On Market Transformation Staff Proposal"
"October 05, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=231128623""><span style=""color:blue""><u>COMMENTS</u></span></a>","Southern California Edison Company","Opening Comments to Administrative Law Judge’s Ruling Questions on Market Transformation Staff Proposal"
"October 05, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=247361466""><span style=""color:blue""><u>COMMENTS</u></span></a>","Pacific Gas and Electric Company,Pacific Gas and Electric Company","Comments Of Pacific Gas And Electric Company (U 39-M) On The Administrative Law Judge’s Ruling Seeking Comment On Market Transformation Staff Proposal "
"October 05, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=247318506""><span style=""color:blue""><u>COMMENTS</u></span></a>","Southern California Gas Company","Comments Of Southern California Gas Company (U 904 G) To Administrative Law Judge Fitch’s Ruling Seeking Comment On Market Transformation Staff Proposal"
"October 05, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=247318503""><span style=""color:blue""><u>COMMENTS</u></span></a>","Natural Resources Defense Council","Natural Resources Defense Council (NRDC) Comments On Administrative Law Judge’s Ruling Seeking Comment On Market Transformation Staff Proposal"
"October 05, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=247361463""><span style=""color:blue""><u>COMMENTS</u></span></a>","California Efficiency + Demand Management Council","Opening Comments Of The California Efficiency + Demand Management Council On Administrative Law Judge’s Ruling Seeking Comment On Market Transformation Staff Proposal"
"October 05, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=247943385""><span style=""color:blue""><u>COMMENTS</u></span></a>","Center for Sustainable Energy","Comments Of The Center For Sustainable Energy® In Response To The Administrative Law Judge’s Ruling Seeking Comment On Market Transformation Staff Proposal"
"October 05, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=247943384""><span style=""color:blue""><u>COMMENTS</u></span></a>","San Diego Gas & Electric Company","San Diego Gas & Electric Company’s (U 902 E) Comments On Market Transformation Staff Proposal"
"October 05, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=231128502""><span style=""color:blue""><u>COMMENTS</u></span></a>","Association of Bay Area Governments","Comments on Administrative Law Judge’s Ruling Seeking Comment on Market Transformation Staff Proposal"
"October 05, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=231128165""><span style=""color:blue""><u>COMMENTS</u></span></a>","The Utility Reform Network","Comments on the ALJ Ruling-Energy Efficiency Market Transformation Policy Framework Proposed by Energy Division Staff"
"October 05, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=231128306""><span style=""color:blue""><u>COMMENTS</u></span></a>","Cal PA/Clay/CPUC","Comments on Administrative Law Judge’s Ruling Seeking Comment on Market Transformation Staff Proposal"
"October 05, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=231128624""><span style=""color:blue""><u>COMMENTS</u></span></a>","Small Business Utility Advocates","Opening Comments on the Administrative Law Judge’s Ruling Seeking Comment on Market Transformation Staff Proposal"
"October 04, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=247361459""><span style=""color:blue""><u>COMMENTS</u></span></a>","Southern California Regional Energy Network","Comments Of The County Of Los Angeles, On Behalf Of The Southern California Regional Energy Network On Commission Staff Proposal"
"October 03, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=233818815""><span style=""color:blue""><u>NOTICE</u></span></a>","City and County of San Francisco","THREE DAY ADVANCE NOTICE OF GRANTING OF EX PARTE MEETINGS"
"October 03, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=234096521""><span style=""color:blue""><u>NOTICE</u></span></a>","Natural Resources Defense Council","THREE-DAY ADVANCE NOTICE OF EX PARTE COMMUNICATION"
"September 06, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=229389114""><span style=""color:blue""><u>NOTICE</u></span></a>","Rising Sun Energy Center","THREE-DAY ADVANCE NOTICE OF EX PARTE COMMUNICATION"
"September 05, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=229988150""><span style=""color:blue""><u>NOTICE</u></span></a>","Rising Sun Energy Center","THREE-DAY ADVANCE NOTICE OF EX PARTE COMMUNICATION"
"August 31, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=229732002""><span style=""color:blue""><u>NOTICE</u></span></a>","Rising Sun Energy Center","THREE-DAY ADVANCE NOTICE OF EX PARTE COMMUNICATION"
"August 31, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=229988148""><span style=""color:blue""><u>NOTICE</u></span></a>","Rising Sun Energy Center","THREE-DAY ADVANCE NOTICE OF EX PARTE COMMUNICATION"
"August 29, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=225059924""><span style=""color:blue""><u>RULING</u></span></a>","ALJ/FITCH/CPUC","Administrative Law Judge’s Ruling seeking comment on market transformation Staff Proposal."
"August 08, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=223643082""><span style=""color:blue""><u>EXPARTE</u></span></a>","City and County of San Francisco","SUMMARY:  On July 25, 2018, Richard Chien, Senior Program Specialist with the Department of the Environment, the City and County of San Francisco, attended an online meeting (webinar) hosted by the Pacific Coast Collaborative (PCC), of which San Francisco is a member. The post-presentation discussion was attended by Forest Kaser, advisor to Cmmr. Picker.  Mr. Chien, referring to the three-prong test for fuel substitution programs in this proceeding, stated that the Commission is reviewing the three-pronged test, and that currently, the test generally prevents the use of ratepayer funds to support “fuel substitution” measures, which affects the City’s plans to reduce carbon emissions including from use of fossil fuels for thermal end uses, such as water heating. San Francisco did not make any requests or recommendations with regard to the three-prong test."
"August 08, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=230886810""><span style=""color:blue""><u>EXPARTE</u></span></a>","CPUC/COMMR/PICKER","[By Decisionmaker]  SUMMARY:  On July 25, 2018, Forest Kaser, advisor to Cmmr. Picker, had a telephone conversation with Rich Chien, City and County of San Francisco."
"July 27, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=223646834""><span style=""color:blue""><u>COMMENTS</u></span></a>","Southern California Edison Company","Reply Comments on Administrative Law Judge’s Ruling Seeking Comments on Threeprong Test"
"July 27, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=233749626""><span style=""color:blue""><u>COMMENTS</u></span></a>","Sierra Club,Natural Resources Defense Council","Reply Of The Natural Resources Defense Council (NRDC) And Sierra Club To Party Comments On The Administrative Law Judge’s Ruling Seeking Comments On The Three-Prong Test"
"July 27, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=228322454""><span style=""color:blue""><u>COMMENTS</u></span></a>","ORA/ZHANG/CPUC","Reply Comments on ALJ's Ruling Seeking Comments on Three-Prong Test"
"July 27, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=224041477""><span style=""color:blue""><u>COMMENTS</u></span></a>","Southern California Gas Company,San Diego Gas & Electric Company","Joint Reply Comments to Administrative Law Judge’s Ruling Seeking Comments on Three-Prong Test"
"July 17, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=223113749""><span style=""color:blue""><u>COMMENTS</u></span></a>","Association of Bay Area Governments","Comments on behalf of THE SAN FRANCISCO BAY AREA REGIONAL ENERGY NETWORK (CPUC #940), to Administrative Law Judge’s Ruling Seeking Comments onthe Three-Prong Test"
"July 17, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=228330244""><span style=""color:blue""><u>COMMENTS</u></span></a>","Natural Resources Defense Council,Sierra Club","Joint reply comments to 6/25/2018 ALJ Ruling."
"July 17, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=227156474""><span style=""color:blue""><u>COMMENTS</u></span></a>","Small Business Utility Advocates","Opening Comments on ALJ's Ruling Seeking Comments on Three-Prong Test"
"July 17, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=228278021""><span style=""color:blue""><u>COMMENTS</u></span></a>","ORA/ZHANG/CPUC","Opening Comments on ALJ's Ruling Seeking Comments on Three-Prong Test"
"July 17, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=224041458""><span style=""color:blue""><u>COMMENTS</u></span></a>","San Diego Gas & Electric Company,Southern California Gas Company","Joint Comments to Administrative LawJudge’s Ruling Seeking Comments on Three-Prong Test"
"July 17, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=223113751""><span style=""color:blue""><u>COMMENTS</u></span></a>","Southern California Edison Company","Comments on Administrative Law Judge’s Ruling Seeking Comments on Threeprong Test"
"July 17, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=223625092""><span style=""color:blue""><u>COMMENTS</u></span></a>","Pacific Gas and Electric Company,Pacific Gas and Electric Company","Opening Comments on the Administrative Law Judge’s Ruling Seeking Comments on Three-Prong Test"
"June 25, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=216775944""><span style=""color:blue""><u>RULING</u></span></a>","ALJ/FITCH/CPUC","ADMINISTRATIVE LAW JUDGE’S RULING SEEKING COMMENTS ON THREE-PRONG TEST.  (1) Opening comments due July 17, 2018.  (2) Reply comments due July 27, 2018."
"June 21, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=216737302""><span style=""color:blue""><u>RULING</u></span></a>","ALJ/FITCH/CPUC","E-Mail Ruling granting motion for party status of Small Business Utility Advocates."
"June 18, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=216501092""><span style=""color:blue""><u>MOTION</u></span></a>","Small Business Utility Advocates","MOTION REQUESTING PARTY STATUS"
"June 01, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=250896109""><span style=""color:blue""><u>COMPLIANCE  FILING</u></span></a>","San Diego Gas & Electric Company,Pacific Gas and Electric Company,Southern California Edison Company","STATEWIDE LIGHTING MARKET TRANSFORMATION REPORT"
"May 25, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=224463547""><span style=""color:blue""><u>REPORT</u></span></a>","Southern California Gas Company","Southern California Gas Company (U 904 G) Energy Efficiency Programs 2017 Annual Report."
"May 22, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=214798346""><span style=""color:blue""><u>RULING</u></span></a>","ALJ/KAO/CPUC,ALJ/FITCH/CPUC","Administrative Law Judges’ Ruling on eligibility to claim intervenor compensation in Rulemaking 13-11-005."
"May 10, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=214449186""><span style=""color:blue""><u>DECISION</u></span></a>","-","Decision D1805017 - Decision Granting Compensation to the Utility Reform Network for Contribution to Decisions D.14-10-046, D.15-10-028, D.16-08-019 and D.17-09-025."
"May 02, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=214784355""><span style=""color:blue""><u>MOTION</u></span></a>","Western HVAC Performance Alliance Inc.","MOTION FOR PARTY STATUS"
"May 01, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=220593856""><span style=""color:blue""><u>REPORT</u></span></a>","Southern California Edison Company","Southern California Edison Company's (U 338-E) 2018 Annual Report for Energy Efficiency Programs."
"May 01, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=249587812""><span style=""color:blue""><u>REPORT</u></span></a>","San Diego Gas & Electric Company","(Public Version) SAN DIEGO GAS & ELECTRIC COMPANYENERGY EFFICIENCY PROGRAMS ANNUAL REPORT 2017 RESULTS "
"May 01, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=220547215""><span style=""color:blue""><u>REPORT</u></span></a>","Pacific Gas and Electric Company","2017 Energy Efficiency Annual Report of Pacific Gas and Electric Company (U 39 M)."
"May 01, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=220564110""><span style=""color:blue""><u>REPORT</u></span></a>","Southern California Gas Company","Southern California Gas Company (U 904 G) Energy Efficiency Programs 2017 Annual Report."
"April 26, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=213120755""><span style=""color:blue""><u>SCOPING RULING</u></span></a>","ALJ/FITCH/CPUC,ALJ/KAO/CPUC,CMMR/PETERMAN/CPUC","ASSIGNED COMMISSIONER AND ADMINISTRATIVE LAW JUDGE’S RULING AND AMENDED SCOPING MEMORANDUM (REGARDING REMAINDER OF PHASE III).  The scope and schedule are as set forth; the category is confirmed as ratesetting; and hearings are determined not to be needed for Phase III of this proceeding."
"April 26, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=213992574""><span style=""color:blue""><u>DECISION</u></span></a>","-","Decision D1804024 - Decision Granting Compensation to Natural Resources Defense Council for Contribution to Decision 17-09-025."
"April 20, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=213120689""><span style=""color:blue""><u>RULING</u></span></a>","CMMR/PETERMAN/CPUC","ASSIGNED COMMISSIONER’S RULING REGARDING 2016 EX-POST AND 2017 EX-ANTE SAVINGS EFFICIENCY SAVINGS AND PERFORMANCE INCENTIVE"
"April 03, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=219634527""><span style=""color:blue""><u>EXPARTE</u></span></a>","CMMR.ADVISOR/GUBMAN/CPUC","Notice of Ex Parte Communication of Decisionmaker. Joanna Gubman, Advisor to Commissioner Randolph, noticed oral and written ex parte communications with The Greenlining Institute, on March 27, 2018 at approximately 1:00 p.m. "
"March 27, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=251152610""><span style=""color:blue""><u>EXPARTE</u></span></a>","The Greenlining Institute","SUMMARY:  On March 27, 2018, Stephanie Chen and Carmelita Miller from The Greenlining Institute, Jodi Pincus and Julia Hatton from Rising Sun, and Martin Bond and Tyi Johnson from Community Energy Services Corporation, had a telephone communication with  Joanna Gubman, advisor to Cmmr. Randolph. The representatives discussed concerns regarding the negative impacts of the business plans on disadvantaged and hard-to-reach communities. Specifically, the representatives discussed how changes in Local Government Partnerships, third-party solicitation process, pay-for-performance, and the TRC could negatively impact energy customers in underserved communities and the community-based organizations that are providing energy efficiency services. Written material (attached to the notice) was used."
"March 26, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=252057326""><span style=""color:blue""><u>EXPARTE</u></span></a>","The Greenlining Institute","SUMMARY:  On March 21, 2018, Stephanie Chen and Carmelita Miller from The Greenlining Institute, Jodi Pincus and Julia Hatton from Rising Sun, and Martin Bond and Tyi Johnson from Community Energy Services Corporation, met with Sandy Goldberg, advisor to Cmmr.  Rechtschaffen, in San Francisco. The representatives discussed concerns regarding the negative impacts of the business plans on disadvantaged and hard-to-reach communities. Specifically, the representatives discussed how changes in Local Government Partnerships, third-party solicitation process, pay-for-performance, and the TRC could negatively impact energy customers in underserved communities and the community-based organizations that are providing energy efficiency services. Written material (attached to the notice) was used."
"January 30, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=208362843""><span style=""color:blue""><u>RULING</u></span></a>","ALJ/KAO/CPUC","E-Mail Ruling granting motion for party status of Rising Sun Energy Center."
"January 16, 2018","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=206664057""><span style=""color:blue""><u>MOTION</u></span></a>","Rising Sun Energy Center","MOTION FOR PARTY STATUS"
"December 04, 2017","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=199495571""><span style=""color:blue""><u>REQUEST</u></span></a>","Natural Resources Defense Council","for intervenor compensation for contribution to D17-09-025"
"December 01, 2017","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=199995499""><span style=""color:blue""><u>REQUEST</u></span></a>","TURN - The Utility Reform Network","for intervenor compensation for contribution to D14-10-046, D15-10-028, D16-08-019, and D17-09-025"
"November 09, 2017","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=199076456""><span style=""color:blue""><u>DECISION</u></span></a>","-","Decision D1711006 - Decision Regarding TO-Code Pilots."
"October 31, 2017","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=198211135""><span style=""color:blue""><u>COMMENTS</u></span></a>","ORA/ZHANG/CPUC","Office of Ratepayer Advocates' reply comments on the Proposed Decision Regarding To-Code Pilots of ALJs Fitch and Kao,issued on October 6, 2017."
"October 31, 2017","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=198217206""><span style=""color:blue""><u>COMMENTS</u></span></a>","Natural Resources Defense Council","REPLY COMMENTS ON PROPOSED DECISION"
"October 31, 2017","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=198020270""><span style=""color:blue""><u>COMMENTS</u></span></a>","Southern California Edison Company","REPLY COMMENTS TO PARTIES’ OPENING COMMENTS ON ADMINISTRATIVE LAW JUDGES’ PROPOSED DECISION REGARDING TO-CODE PILOTS"
"October 31, 2017","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=198217196""><span style=""color:blue""><u>COMMENTS</u></span></a>","Association of Bay Area Governments","Association of Bay Area Governments on behalf of the San Francisco Bay Area Regional Energy Network's Reply comments on the October 6, 2017 Proposed Decision regarding To-Code Pilots issued by ALJs’ Fitch and Kao."
"October 26, 2017","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=198258093""><span style=""color:blue""><u>COMMENTS</u></span></a>","Southern California Edison Company","Southern California Edison Company's opening comments on the Proposed Decision regarding To-Code Pilots issued by ALJs Fitch and Kao on October 6, 2017."
"October 26, 2017","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=198211136""><span style=""color:blue""><u>COMMENTS</u></span></a>","Southern California Gas Company","Southern California Gas Company's opening comments on the Proposed Decision Regarding To-Code Pilots of ALJs Fitch and Kao, dated October 6, 2017."
"October 26, 2017","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=198217195""><span style=""color:blue""><u>COMMENTS</u></span></a>","ORA/ZHANG/CPUC","Office of Ratepayer Advocates' comments to the Proposed Decision Regarding To-Code Pilots of ALJs Fitch and Kao, issued on October 6, 2017."
"October 26, 2017","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=197933711""><span style=""color:blue""><u>COMMENTS</u></span></a>","PACIFIC GAS AND ELECTRIC COMPANY","Pacific Gas and Electric Company's opening comments on the Proposed Decision Regarding To-Code Pilots, dated October 6, 2017."
"October 19, 2017","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=197542149""><span style=""color:blue""><u>RULING</u></span></a>","ALJ/MCKINNEY/CPUC","Administrative Law Judge’s Ruling pursuant to Rule 8.1(c) of the Commission’s Rules of Practice and Procedure regarding customer choice workshop. "
"October 06, 2017","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=196814892""><span style=""color:blue""><u>PROPOSED DECISION</u></span></a>","ALJ/KAO/CPUC,ALJ/FITCH/CPUC","DECISION REGARDING TO-CODE PILOTS.  Opening comments, which shall not exceed 15 pages, are due no later than October 26, 2017.  Reply comments, which shall not exceed 5 pages, are due 5 days after the last day for filing opening comments."
"September 28, 2017","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=196685174""><span style=""color:blue""><u>DECISION</u></span></a>","-","Decision D1709025 - Decision Adopting Energy Efficiency Goals for 2018-2030."
"September 25, 2017","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=196148321""><span style=""color:blue""><u>NOTICE</u></span></a>","Just Energy Solutions, Inc.","NOTICE OF CHANGE OF NAME OF COMMERCE ENERGY, INC. TO JUST ENERGY SOLUTIONS, INC."
"September 19, 2017","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=195911058""><span style=""color:blue""><u>COMMENTS</u></span></a>","Southern California Gas Company","Southern California Gas Company's reply comments concerning the Proposed Decision Adopting Energy Efficiency Goals for 2018 - 2030, dated August 25, 2017."
"September 14, 2017","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=195910855""><span style=""color:blue""><u>COMMENTS</u></span></a>","San Diego Gas & Electric Company,Pacific Gas & Electric Company","San Diego Gas & Electric Company and Pacific Gas and Electric Company's opening comments on the Proposed Decision Adopting Energy Efficiency Goals for 2018-2030, dated August 25, 2017."
"September 14, 2017","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=197794805""><span style=""color:blue""><u>COMMENTS</u></span></a>","California Efficiency + Demand Management Council","ON PROPOSED DECISION ADOPTING ENERGY EFFICIENCY GOALS FOR 2018-2030"
"September 14, 2017","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=195911316""><span style=""color:blue""><u>COMMENTS</u></span></a>","Southern California Gas Company","Southern California Gas Company's comments on the Proposed Decision Adopting Energy Efficiency Goals for 2018 - 2030, dated August 25, 2017."
"September 14, 2017","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=195911315""><span style=""color:blue""><u>COMMENTS</u></span></a>","County of Los Angeles","County of Los Angeles, on behalf of the Southern California Energy Network's comments on the Administrative Law Judge’s Proposed Decision Adopting Energy Efficiency Goals for 2018-2030 dated August 25, 2017."
"September 14, 2017","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=195911314""><span style=""color:blue""><u>COMMENTS</u></span></a>","Natural Resources Defense Council","Natural Resources Defense Council's comments on the Proposed Decision Adopting Energy Efficiency Goals for 2018-2030."
"September 14, 2017","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=195910856""><span style=""color:blue""><u>COMMENTS</u></span></a>","ORA/ZHANG/CPUC","Office of Ratepayer Advocates' comments pursuant to the Proposed Decision Adopting Energy Efficiency Goals for 2018-2020, issued on August 25th, 2017."
"September 14, 2017","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=196087345""><span style=""color:blue""><u>COMMENTS</u></span></a>","Southern California Edison Company","Southern California Edison Company's opening comments on the August 25, 2017, proposed decision Adopting Energy Efficiency Goals for 2018 – 2030,” issued by Administrative Law Judges Fitch and Kao."
"September 07, 2017","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=195911323""><span style=""color:blue""><u>EXPARTE</u></span></a>","CMMR.ADVISOR/KALAFUT/CPUC","Notice of Ex Parte Communication of Advisor.  Jennifer Kalafut, Advisor to Commissioner Peterman, noticed ex parte communication with Natural Resources Defense Council and Sierra Club, on July 20, 2017, at 10:00 a.m. "
"August 28, 2017","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=195146301""><span style=""color:blue""><u>RULING</u></span></a>","ALJ/FITCH/CPUC","EMAIL RULING GRANTING MOTION FOR PARTY STATUS OF VERIFIED INC."
"August 25, 2017","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=194656346""><span style=""color:blue""><u>PROPOSED DECISION</u></span></a>","ALJ/FITCH/CPUC,ALJ/KAO/CPUC","DECISION ADOPTING ENERGY EFFICIENCY GOALS FOR 2018 - 2030.  Opening comments, which shall not exceed 15 pages, are due September 14, 2017.  Reply comments, which shall not exceed 5 pages, are due 5 days after the last day for filing comments."
"August 21, 2017","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=193982198""><span style=""color:blue""><u>RULING</u></span></a>","ALJ/FITCH/CPUC","E-Mail Ruling Noticing Two California Energy Commission Workshops."
"August 10, 2017","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=193590241""><span style=""color:blue""><u>MOTION</u></span></a>","Verified® Inc.","Motion for Party Status."
"July 25, 2017","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=195911063""><span style=""color:blue""><u>EXPARTE</u></span></a>","Natural Resources Defense Council","Notice of Ex Parte Communication.  Natural Resources Defense Council and Sierra Club jointly noticed oral ex parte communication with Jennifer Kalafut, Advisor to Commissioner Peterman, on July 20, 2017, at approximately 10:00 a.m."
